Reg 0 - Cid 0: menor: 0, maior: 100, mediana: 44.00, média: 50.03 e DP: 28.55
Reg 0 - Cid 1: menor: 0, maior: 100, mediana: 56.00, média: 52.20 e DP: 28.40
Reg 0 - Cid 2: menor: 0, maior: 100, mediana: 52.00, média: 51.48 e DP: 29.27
Reg 0 - Cid 3: menor: 0, maior: 99, mediana: 41.00, média: 45.55 e DP: 27.75
Reg 0 - Cid 4: menor: 0, maior: 100, mediana: 51.50, média: 49.62 e DP: 30.79
Reg 0 - Cid 5: menor: 2, maior: 100, mediana: 39.00, média: 46.26 e DP: 30.25
Reg 0 - Cid 6: menor: 2, maior: 100, mediana: 50.00, média: 49.63 e DP: 26.68
Reg 0 - Cid 7: menor: 0, maior: 98, mediana: 46.00, média: 44.95 e DP: 29.21
Reg 0 - Cid 8: menor: 0, maior: 99, mediana: 45.50, média: 48.70 e DP: 31.14
Reg 0 - Cid 9: menor: 0, maior: 100, mediana: 55.50, média: 51.90 e DP: 30.14
Reg 0 - Cid 10: menor: 0, maior: 100, mediana: 55.00, média: 53.22 e DP: 31.24
Reg 0 - Cid 11: menor: 0, maior: 100, mediana: 48.00, média: 51.18 e DP: 27.30
Reg 0 - Cid 12: menor: 0, maior: 100, mediana: 51.00, média: 50.09 e DP: 29.92
Reg 0 - Cid 13: menor: 0, maior: 100, mediana: 55.00, média: 52.97 e DP: 29.96
Reg 0 - Cid 14: menor: 1, maior: 99, mediana: 47.50, média: 47.78 e DP: 30.01
Reg 0 - Cid 15: menor: 1, maior: 100, mediana: 50.50, média: 49.72 e DP: 30.17
Reg 0 - Cid 16: menor: 2, maior: 98, mediana: 52.00, média: 50.69 e DP: 26.04
Reg 0 - Cid 17: menor: 0, maior: 100, mediana: 53.00, média: 53.13 e DP: 30.22
Reg 0 - Cid 18: menor: 0, maior: 100, mediana: 53.00, média: 51.03 e DP: 29.84
Reg 0 - Cid 19: menor: 0, maior: 100, mediana: 56.50, média: 51.88 e DP: 33.52
Reg 0 - Cid 20: menor: 0, maior: 100, mediana: 51.00, média: 48.69 e DP: 27.94
Reg 0 - Cid 21: menor: 0, maior: 100, mediana: 45.50, média: 47.92 e DP: 28.83
Reg 0 - Cid 22: menor: 0, maior: 100, mediana: 48.00, média: 50.44 e DP: 29.90
Reg 0 - Cid 23: menor: 0, maior: 100, mediana: 55.00, média: 51.36 e DP: 31.36
Reg 0 - Cid 24: menor: 2, maior: 98, mediana: 55.00, média: 51.30 e DP: 28.33
Reg 0 - Cid 25: menor: 0, maior: 99, mediana: 54.00, média: 54.04 e DP: 28.57
Reg 0 - Cid 26: menor: 0, maior: 97, mediana: 52.00, média: 48.69 e DP: 29.36
Reg 0 - Cid 27: menor: 0, maior: 100, mediana: 48.00, média: 46.69 e DP: 29.32
Reg 0 - Cid 28: menor: 3, maior: 100, mediana: 45.00, média: 48.43 e DP: 27.76
Reg 0 - Cid 29: menor: 0, maior: 100, mediana: 52.50, média: 49.54 e DP: 26.48
Reg 0 - Cid 30: menor: 0, maior: 98, mediana: 45.50, média: 46.78 e DP: 28.52
Reg 0 - Cid 31: menor: 1, maior: 100, mediana: 49.50, média: 50.07 e DP: 30.36
Reg 0 - Cid 32: menor: 0, maior: 100, mediana: 50.00, média: 49.62 e DP: 27.28
Reg 0 - Cid 33: menor: 0, maior: 100, mediana: 50.50, média: 50.85 e DP: 30.36
Reg 0 - Cid 34: menor: 1, maior: 100, mediana: 53.00, média: 49.85 e DP: 28.71
Reg 0 - Cid 35: menor: 1, maior: 99, mediana: 42.00, média: 46.33 e DP: 28.76
Reg 0 - Cid 36: menor: 0, maior: 100, mediana: 47.50, média: 48.39 e DP: 28.58
Reg 0 - Cid 37: menor: 0, maior: 99, mediana: 52.00, média: 50.63 e DP: 26.43
Reg 0 - Cid 38: menor: 0, maior: 99, mediana: 60.00, média: 54.33 e DP: 29.26
Reg 0 - Cid 39: menor: 1, maior: 100, mediana: 44.00, média: 46.03 e DP: 30.25
Reg 0 - Cid 40: menor: 0, maior: 100, mediana: 53.00, média: 51.69 e DP: 30.87
Reg 0 - Cid 41: menor: 0, maior: 99, mediana: 55.00, média: 51.20 e DP: 28.23
Reg 0 - Cid 42: menor: 0, maior: 100, mediana: 50.50, média: 49.18 e DP: 28.78
Reg 0 - Cid 43: menor: 1, maior: 99, mediana: 51.00, média: 48.92 e DP: 28.61
Reg 0 - Cid 44: menor: 0, maior: 100, mediana: 45.00, média: 47.50 e DP: 29.94
Reg 0 - Cid 45: menor: 0, maior: 100, mediana: 54.00, média: 53.81 e DP: 29.62
Reg 0 - Cid 46: menor: 0, maior: 98, mediana: 47.50, média: 47.32 e DP: 30.80
Reg 0 - Cid 47: menor: 0, maior: 100, mediana: 50.50, média: 50.42 e DP: 28.99
Reg 0 - Cid 48: menor: 2, maior: 100, mediana: 54.50, média: 52.20 e DP: 30.28
Reg 0 - Cid 49: menor: 0, maior: 100, mediana: 41.00, média: 46.90 e DP: 30.15
Reg 0 - Cid 50: menor: 0, maior: 99, mediana: 45.00, média: 45.89 e DP: 29.53
Reg 0 - Cid 51: menor: 0, maior: 100, mediana: 48.00, média: 47.85 e DP: 29.56
Reg 0 - Cid 52: menor: 1, maior: 99, mediana: 43.00, média: 45.05 e DP: 28.70
Reg 0 - Cid 53: menor: 0, maior: 100, mediana: 41.50, média: 43.61 e DP: 28.23
Reg 0 - Cid 54: menor: 0, maior: 100, mediana: 54.00, média: 53.80 e DP: 29.68
Reg 0 - Cid 55: menor: 0, maior: 100, mediana: 58.00, média: 56.13 e DP: 29.11
Reg 0 - Cid 56: menor: 1, maior: 99, mediana: 49.00, média: 49.98 e DP: 28.90
Reg 0 - Cid 57: menor: 0, maior: 99, mediana: 42.50, média: 46.73 e DP: 30.14
Reg 0 - Cid 58: menor: 0, maior: 100, mediana: 45.00, média: 47.76 e DP: 31.09
Reg 0 - Cid 59: menor: 1, maior: 100, mediana: 55.50, média: 53.84 e DP: 28.54
Reg 0 - Cid 60: menor: 1, maior: 100, mediana: 56.00, média: 50.61 e DP: 27.38
Reg 0 - Cid 61: menor: 1, maior: 100, mediana: 44.50, média: 46.09 e DP: 29.51
Reg 0 - Cid 62: menor: 1, maior: 99, mediana: 49.00, média: 49.11 e DP: 26.75
Reg 0 - Cid 63: menor: 0, maior: 100, mediana: 48.50, média: 50.74 e DP: 28.12
Reg 0 - Cid 64: menor: 1, maior: 100, mediana: 62.00, média: 54.47 e DP: 29.02
Reg 0 - Cid 65: menor: 0, maior: 100, mediana: 56.00, média: 54.83 e DP: 28.80
Reg 0 - Cid 66: menor: 0, maior: 100, mediana: 52.50, média: 50.17 e DP: 28.34
Reg 0 - Cid 67: menor: 1, maior: 97, mediana: 45.50, média: 45.43 e DP: 30.31
Reg 0 - Cid 68: menor: 0, maior: 99, mediana: 55.00, média: 53.18 e DP: 28.08
Reg 0 - Cid 69: menor: 0, maior: 100, mediana: 45.50, média: 46.86 e DP: 27.02
Reg 0 - Cid 70: menor: 0, maior: 98, mediana: 42.50, média: 44.53 e DP: 29.85
Reg 0 - Cid 71: menor: 0, maior: 99, mediana: 46.00, média: 47.97 e DP: 28.88
Reg 0 - Cid 72: menor: 0, maior: 100, mediana: 49.50, média: 49.55 e DP: 30.94
Reg 0 - Cid 73: menor: 0, maior: 100, mediana: 48.50, média: 49.93 e DP: 30.12
Reg 0 - Cid 74: menor: 1, maior: 100, mediana: 45.00, média: 48.01 e DP: 28.84
Reg 0 - Cid 75: menor: 0, maior: 100, mediana: 44.50, média: 46.54 e DP: 29.64
Reg 0 - Cid 76: menor: 1, maior: 99, mediana: 47.00, média: 48.43 e DP: 27.90
Reg 0 - Cid 77: menor: 0, maior: 98, mediana: 42.50, média: 48.76 e DP: 29.98
Reg 0 - Cid 78: menor: 0, maior: 100, mediana: 39.00, média: 44.41 e DP: 28.41
Reg 0 - Cid 79: menor: 0, maior: 98, mediana: 52.50, média: 50.59 e DP: 28.05
Reg 0 - Cid 80: menor: 0, maior: 99, mediana: 47.50, média: 46.92 e DP: 28.07
Reg 0 - Cid 81: menor: 1, maior: 100, mediana: 53.50, média: 52.75 e DP: 29.08
Reg 0 - Cid 82: menor: 1, maior: 100, mediana: 52.00, média: 51.88 e DP: 28.65
Reg 0 - Cid 83: menor: 1, maior: 100, mediana: 47.50, média: 48.29 e DP: 28.24
Reg 0 - Cid 84: menor: 0, maior: 100, mediana: 47.50, média: 48.83 e DP: 29.59
Reg 0 - Cid 85: menor: 0, maior: 100, mediana: 45.00, média: 47.36 e DP: 28.60
Reg 0 - Cid 86: menor: 0, maior: 99, mediana: 52.50, média: 48.54 e DP: 29.84
Reg 0 - Cid 87: menor: 0, maior: 100, mediana: 44.00, média: 48.41 e DP: 28.33
Reg 0 - Cid 88: menor: 1, maior: 100, mediana: 55.00, média: 50.39 e DP: 29.45
Reg 0 - Cid 89: menor: 0, maior: 100, mediana: 52.00, média: 49.57 e DP: 28.73
Reg 0 - Cid 90: menor: 0, maior: 100, mediana: 47.00, média: 49.01 e DP: 29.97
Reg 0 - Cid 91: menor: 0, maior: 100, mediana: 48.50, média: 50.05 e DP: 30.16
Reg 0 - Cid 92: menor: 0, maior: 98, mediana: 50.00, média: 50.72 e DP: 29.83
Reg 0 - Cid 93: menor: 1, maior: 100, mediana: 50.50, média: 48.68 e DP: 31.02
Reg 0 - Cid 94: menor: 0, maior: 100, mediana: 50.00, média: 48.45 e DP: 29.65
Reg 0 - Cid 95: menor: 1, maior: 100, mediana: 59.00, média: 53.31 e DP: 28.67
Reg 0 - Cid 96: menor: 0, maior: 98, mediana: 56.00, média: 50.39 e DP: 29.37
Reg 0 - Cid 97: menor: 0, maior: 99, mediana: 49.50, média: 50.99 e DP: 30.89
